product_id,product_name,test_weeks,baseline_mae,adjusted_mae,baseline_wape,adjusted_wape,wape_delta,adjusted_better_weeks,adjusted_worse_weeks,neutral_weeks
P001,Polyester Yarn 150D,12,23487.5,23487.5,0.6955824284304047,0.6955824284304047,0.0,0,0,12
P002,Polyester Yarn 300D,12,21358.333333333332,21358.333333333332,0.6439698492462311,0.6439698492462311,0.0,0,0,12
P003,Industrial Polyester Fiber,12,12881.25,12765.208333333334,0.6031018337885291,0.5976687475614514,-0.005433086227077721,3,2,7
P004,Carpet Polyester Yarn,12,39718.75,39718.75,0.6094169543536632,0.6094169543536632,0.0,0,0,12
P005,High Tenacity Polyester Yarn,12,16322.916666666666,16731.25,0.6430564674983585,0.6591431385423506,0.016086671043992085,0,1,11
